STATION,STATION_NAME,DATE,HPCP
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 13:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 14:00,1.52
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 15:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 16:00,2.29
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 17:00,2.54
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 18:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 19:00,1.52
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 20:00,2.29
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 21:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 22:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 23:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 00:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 02:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 05:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 06:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 07:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 08:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 09:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 10:00,2.29
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 11:00,3.05
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 12:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 13:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 14:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 15:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 17:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 18:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 19:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000130 21:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000201 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000212 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000212 12:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000212 13:00,1.27
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000212 14:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000213 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000213 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000213 20:00,2.54
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000213 21:00,3.05
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000213 22:00,1.78
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000213 23:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000214 00:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000214 01:00,15.75
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000214 02:00,5.84
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000214 03:00,8.38
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000214 04:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000217 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000217 21:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000217 22:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000217 23:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000218 03:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000218 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000218 05:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000218 06:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000218 19:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000227 10:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000227 11:00,5.33
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000227 12:00,1.52
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000227 13:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000227 14:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000227 16:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000227 17:00,0.00
